"Age","Benefit","NetSinglePremium","Die","SurviveYears"
86,4865,3808.84531048292,86,0
64,1055,507.788113441638,75,11
91,1282,1074.17411494084,94,3
27,3421,425.259968292883,75,48
2,7428,368.286870525491,16,14
3,5734,291.872208218295,75,72
58,5443,2173.86089601954,86,28
96,2851,2576.16715640323,98,2
9,7526,466.093744510292,72,63
88,4901,3947.40961390296,89,1
83,6661,4975.99716123536,89,6
79,8667,6025.91751828229,88,9
68,7497,4039.04167645031,73,5
35,2265,387.140716130827,66,31
35,8330,1423.78903548335,77,42
94,8998,7850.190218328,95,1
2,4253,210.867536395384,55,53
32,7560,1147.08470242195,73,41
82,4140,3040.81257612874,84,2
31,5075,739.96646646818,81,50
5,3251,175.623281104565,81,76
51,5924,1860.94566255523,67,16
46,2045,534.878071238673,58,12
85,2856,2202.66451824362,86,1
2,8395,416.231593707795,15,13
50,6034,1828.57206331234,55,5
39,4532,906.602413989368,77,38
19,8629,781.477440292791,79,60
37,7319,1353.74619436372,67,30
95,2513,2227.65982441363,96,1
8,2062,123.223574231162,84,76
49,4811,1405.95817616039,82,33
85,4076,3143.57863317962,90,5
90,6155,5091.01116900842,92,2
31,8148,1188.02891995719,51,20
51,4740,1489.00783938416,62,11
31,8144,1187.44569515603,80,49
57,2755,1064.65026843565,77,20
35,3214,549.346693882771,84,49
18,6737,586.736589647505,84,66
93,7000,6021.07936773505,94,1
9,4614,285.750270684359,90,81
21,2591,253.831696384958,68,47
8,8214,490.862482412593,28,20
93,3195,2748.19265427335,93,0
14,8169,609.740911617669,76,62
57,1601,618.695128771496,58,1
18,1254,109.212955828703,42,24
47,1706,463.165207087528,74,27
62,3209,1454.60975616588,89,27
61,3401,1494.81009855874,81,20
61,3130,1375.69997309288,66,5
83,1179,880.75373864232,84,1
6,5923,330.485769199298,86,80
55,4599,1661.55093061325,87,32
86,6477,5070.89230750213,91,5
66,9453,4819.71940525913,85,19
6,3724,207.788114890796,84,78
80,9278,6574.38699661775,91,11
61,8473,3724.05938403065,93,32
55,4799,1733.80798347749,89,34
31,1262,184.007424765092,60,29
88,4425,3564.02520741086,88,0
4,6573,344.331992162402,66,62
13,5963,428.460622721672,61,48
46,4070,1064.52506109604,67,21
76,6613,4324.90512289669,79,3
16,6377,513.94075158766,82,66
40,1332,277.039602790757,90,50
83,6491,4849.00128713087,85,2
38,6049,1163.64634402043,81,43
12,3412,236.082569093358,79,67
91,2547,2134.10411135283,92,1
98,5704,5348.30776995519,98,0
98,6734,6314.07863304317,98,0
38,2300,442.45108137659,83,45
80,2525,1789.21396491268,83,3
69,7058,3905.03415377928,80,11
97,1062,978.316359503112,98,1
34,4963,815.341865174395,69,35
63,6933,3239.2943411092,75,12
62,7144,3238.30853787755,71,9
66,8569,4369.00196590135,81,15
40,7877,1638.31903241952,44,4
96,2712,2450.56658301142,96,0
98,5560,5213.2873774458,99,1
17,5902,494.413124448921,19,2
44,3016,731.559810848248,60,16
64,3867,1861.24799495622,74,10
43,1577,368.214799922915,80,37
36,8083,1437.2920193534,83,47
52,3806,1238.90368980239,83,31
81,8899,6422.23502341734,83,2
42,8955,2012.26131191873,65,23
70,7202,4089.41197398089,84,14
54,2534,884.603213543211,80,26
8,4432,264.852997571538,68,60
45,2331,587.207382371962,73,28
46,1186,310.203125911524,81,35
39,2195,439.098035901735,64,25
63,2726,1273.66455702635,85,22
3,2994,152.400661214785,75,72
68,1739,936.893887601318,85,17
40,6865,1427.83549035927,46,6
72,2781,1659.8355736585,72,0
56,6907,2581.40971171653,85,29
55,9253,3342.97255076416,79,24
71,1754,1021.44066458355,94,23
56,5740,2145.25723834557,92,36
59,4156,1714.57106891998,74,15
15,7920,614.211297232891,68,53
48,5217,1469.72988427834,61,13
15,4115,319.126197994109,73,58
97,9404,8662.98215138161,98,1
60,7799,3321.87615107163,73,13
69,2209,1222.1904853639,81,12
44,8194,1987.53351793453,89,45
44,3739,906.930415371883,73,29
15,5205,403.657803295101,62,47
19,5305,480.442440694548,75,56
32,9435,1431.57991631628,58,26
64,2986,1437.2088215514,69,5
35,5199,888.628955039367,77,42
98,4403,4128.43602929746,99,1
60,6099,2597.78467052005,73,13
33,3516,555.126107100868,90,57
79,5262,3658.51828558918,82,3
87,3839,3049.2990449819,90,3
24,9940,1096.50530431336,73,49
5,1199,64.7715515362576,69,64
14,2204,164.508381589588,75,61
44,4069,986.975089635783,87,43
65,9515,4715.00947813071,81,16
20,4018,378.441053240464,81,61
96,9289,8393.55198731308,96,0
56,4299,1606.70049959018,75,19
38,2623,504.586602804694,84,46
22,2217,225.941335033857,68,46
75,4724,3022.84349659253,80,5
92,4474,3797.52163401404,94,2
45,9312,2345.80658286045,86,41
36,4796,852.808675593083,61,25
69,8176,4523.59864569275,75,6
93,7856,6757.37135898951,93,0
8,2981,178.142325307029,57,49
2,1763,87.4111137232689,71,69
88,2662,2144.05313042434,96,8
63,7569,3536.45158919019,92,29
51,3366,1057.38404796774,90,39
39,5241,1048.43408025558,87,48
38,7791,1498.75494565435,81,43
31,2625,382.741275759404,62,31
83,6496,4852.73645989865,87,4
41,7310,1580.48116983399,73,32
26,7470,892.27957669449,82,56
88,7815,6294.430959529,90,2
25,6809,781.560674663191,74,49
27,4747,590.093267900121,59,32
71,6682,3891.25799358454,89,18
51,5255,1650.78822699658,55,4
19,7722,699.335820366315,46,27
13,4489,322.549008116315,74,61
0,3177,205.336414130129,52,52
98,6292,5899.64103936853,99,1
95,1052,932.54999414371,97,2
95,6667,5909.99126516741,98,3
56,9435,3526.21986825618,93,37
13,5075,364.654982443818,75,62
6,3837,214.093178527386,75,69
4,1418,74.2830921780444,68,64
31,5788,843.926287274449,59,28
25,3720,426.994523387732,87,62
23,4115,436.294273722363,90,67
65,9778,4845.33501599181,87,22
44,1039,252.019444121794,84,40
65,9933,4922.1428424879,85,20
52,2805,913.064858091358,66,14
49,6548,1913.57600031142,57,8
78,6319,4307.75850644643,92,14
80,1516,1074.23697853767,83,3
97,8726,8038.4073003994,98,1
35,4548,777.358047224282,83,48
33,2619,413.502637797831,37,4
59,5004,2064.41617634157,80,21
31,7413,1080.86136274456,79,48
55,1991,719.31896126353,71,16
65,2386,1182.34499367524,82,17
21,6952,681.064435842619,74,53
66,6130,3125.45011681355,83,17
36,4857,863.655491525355,77,41
1,4333,209.859232138827,82,81
53,3592,1211.11121779057,75,22
91,7855,6581.62064965703,94,3
58,8036,3209.47017461198,92,34
36,6680,1187.81525291113,90,54
51,3170,995.813259672531,66,15
63,6916,3231.35145869194,70,7
39,6741,1348.50107517704,77,38
48,6947,1957.1043714935,80,32
23,5827,617.809655645251,68,45
64,4200,2021.52613881979,81,17
15,9554,740.931153252909,60,45
39,5730,1146.25592059997,53,14
41,1056,228.315747653173,67,26
62,8186,3710.63741476283,71,9
69,2717,1503.25556755714,69,0
99,7224,6880,99,0
34,1387,227.862012290326,35,1
27,4066,505.439061993236,85,58
59,4977,2053.27724013829,85,26
23,3504,371.512791038435,84,61
60,5988,2550.50575620169,72,12
53,3018,1017.57618465812,76,23
82,2273,1669.50893370546,90,8
44,5153,1249.90971661174,70,26
39,3613,722.761368434154,59,20
90,1334,1103.3970592132,90,0
97,1979,1823.05845146578,99,2
63,3562,1664.2674806045,85,22
4,9405,492.688633240132,70,66
36,5264,936.026869958713,65,29
23,1025,108.675973405935,82,59
88,5721,4607.8617427339,95,7
59,8164,3368.08426531826,65,6
64,3545,1706.26432431337,78,14
33,4363,688.855291604405,70,37
43,5740,1340.23649432944,48,5
91,4861,4072.9800099278,98,7
26,7701,919.87215798183,38,12
38,2681,515.7440648568,73,35
49,7971,2329.43101687268,80,31
46,7625,1994.34977662341,65,19
47,8140,2209.94418856534,75,28
78,1232,839.87315713594,84,6
69,1597,883.584520201972,76,7
52,6355,2068.63713838523,90,38
60,9386,3997.83684497479,71,11
99,1086,1034.28571428571,99,0
97,9581,8826.03487796546,98,1
78,4016,2737.76834339118,79,1
36,9756,1734.77928254506,76,40
68,9870,5317.50584854802,81,13
19,3993,361.622368650958,70,51
93,8027,6904.45772640132,93,0
76,6038,3948.85485136099,93,17
23,4117,436.506324402179,34,11
65,2612,1294.33576005017,79,14
98,1892,1774.01793491501,99,1
42,1313,295.041775829067,92,50
8,9680,578.46954343242,80,72
98,7314,6857.91076953932,98,0
80,2902,2056.35601036697,87,7
11,3013,200.818027400361,69,58
34,8135,1336.45095168118,38,4
80,4055,2873.37133771125,93,13
35,6862,1172.8739929756,77,42
66,5445,2776.19508744695,91,25
13,8255,593.148153709107,87,74
24,2870,316.596601949631,81,57
81,7096,5121.0450304719,92,11
71,6357,3701.9944724958,72,1
98,1918,1798.39661689587,98,0
29,9406,1266.34443309407,83,54
92,5548,4709.13053766426,95,3
25,5116,587.232253132161,71,46
14,3199,238.776003949678,67,53
35,8266,1412.84996006067,65,30
30,8492,1189.79476270864,75,45
69,9037,4999.97076334704,93,24
35,4986,852.222344648257,87,52
11,6609,440.493310019578,49,38
51,7134,2241.05103927566,70,19
16,6220,501.28767051517,50,34
45,2271,572.092649234975,60,15
14,1952,145.698893313464,89,75
94,1039,906.462284601333,94,0
48,7394,2083.03292397049,77,29
33,1919,302.982650604825,78,45
78,7879,5371.23425736531,78,0
75,6742,4314.14285648324,88,13
71,4291,2498.86082766706,93,22
88,1990,1602.80455655313,90,2
0,1290,83.3755033767283,27,27
39,5086,1017.42715744703,66,27
17,5997,502.371316048828,68,51
59,1909,787.564044891299,88,29
11,7341,489.281493244624,78,67
17,2561,214.536091445898,87,70
3,5565,283.269766085597,48,45
53,3919,1321.36549624757,76,23
92,4546,3858.6350800688,93,1
84,3940,2991.58090329126,84,0
54,3744,1307.00648441428,88,34
16,9143,736.860638508071,83,67
91,3455,2894.90761865882,91,0
85,3418,2636.10200397643,85,0
21,2589,253.635763002955,91,70
72,7937,4737.18624528137,91,19
81,5849,4221.10941139094,87,6
95,7280,6453.3877921732,96,1
63,4384,2048.32920689784,68,5
88,8824,7107.10924976122,90,2
59,1556,641.932767863207,62,3
64,6564,3159.35656552693,77,13
44,6714,1628.54528184189,63,19
50,1415,428.808331055181,77,27
14,5146,384.10169313068,76,62
62,6017,2727.44995414463,77,15
98,1101,1032.34341772803,98,0
82,8760,6434.18313209849,88,6
12,6642,459.572222719251,85,73
78,3727,2540.75264338121,80,2
2,1653,81.9572155329345,82,80
86,3565,2791.0654741771,88,2
49,6878,2010.01461975289,86,37
56,8610,3217.88585751836,70,14
20,1699,160.022735056134,80,60
89,4747,3875.22340972356,89,0
25,3872,444.441611440134,86,61
7,3095,178.614222377284,71,64
3,2173,110.610099138186,80,77
5,8394,453.454882064509,73,68
18,1011,88.0496796992174,86,68
95,8056,7141.27638100925,96,1
77,9845,6575.96357776127,87,10
1,7702,373.029265158839,89,88
42,5665,1272.97156136456,77,35
40,5740,1193.84933935356,74,34
35,1073,183.400436383389,46,11
35,9534,1629.58039187254,51,16
31,3784,551.730661894698,69,38
85,6986,5387.89016962532,87,2
48,3738,1053.06695561289,62,14
90,3177,2627.80544012019,93,3
81,3977,2870.12346197671,92,11
10,4842,311.012677871725,90,80
56,4009,1498.3164230884,78,22
15,7218,559.769841341794,72,57
67,5870,3077.49282946723,90,23
22,9025,919.76569629254,70,48
55,4024,1453.81190362855,84,29
41,2153,465.496027175455,63,22
21,6880,674.010834090509,88,67
79,6307,4385.07693409558,86,7
10,6316,405.691051928503,47,37
82,6713,4930.67024723484,91,9
45,9789,2465.9687112995,62,17
90,9601,7941.3157162713,93,3
91,6645,5567.77456613253,96,5
36,5520,981.547933543331,54,18
33,6623,1045.67696454182,82,49
98,4127,3869.64694365447,99,1
92,5369,4557.19572038922,94,2
72,3244,1936.17641170376,83,11
57,1025,396.104001868072,76,19
13,7740,556.143756475892,58,45
30,2417,338.640360511868,87,57
9,8340,516.505690833887,28,19
24,2756,304.020987795534,89,65
78,2717,1852.22026618372,81,3
15,6132,475.548443766678,57,42
41,3388,732.513023720595,88,47
76,2628,1718.71324103622,87,11
21,5062,495.907389849732,84,63
47,4138,1123.43354450656,76,29
48,5997,1689.47098256032,56,8
61,3970,1744.89740996125,83,22
16,5524,445.195030856238,68,52
62,1766,800.511321093471,74,12
80,9898,7013.7187424577,86,6
45,3055,769.591828891611,65,20
20,4534,427.041248231026,79,59
10,3052,196.036904763425,57,47
16,2307,185.927758179823,78,62
2,8644,428.577235975006,88,86
51,2670,838.74492218475,85,34
51,1018,319.791135125122,74,23
99,8102,7716.19047619048,99,0
55,6407,2314.75468850599,88,33
84,1650,1252.81941381487,92,8
88,1768,1423.99922411354,96,8
10,7970,511.931235571592,76,66
6,5785,322.785779979392,72,66
47,3214,872.575014993737,91,44
51,5706,1792.46386741056,75,24
38,3135,603.080060919831,71,33
55,5960,2153.26017535441,83,28
60,2362,1006.06122180167,85,25
4,2041,106.919457782362,45,41
3,1188,60.4716050511571,77,74
53,1285,433.262225740782,76,23
15,4026,312.224076093386,49,34
63,6491,3032.77939826047,71,8
54,2999,1046.93174325813,68,14
54,1265,441.603419547025,65,11
91,9241,7742.93525442147,91,0
97,4313,3973.14355794437,97,0
47,3299,895.651827773596,78,31
94,8851,7721.94194514572,95,1
55,5544,2002.96550539679,82,27
0,9863,637.46712387959,88,88
86,3861,3022.80611382827,89,3
76,6606,4320.32711959103,83,7
80,8354,5919.64097539822,93,13
26,1823,217.754440202685,68,42
29,5599,753.802092376535,80,51
81,9090,6560.07600436719,91,10
11,3503,233.476783930789,76,65
5,3797,205.118916749933,80,75
39,6535,1307.29187454116,69,30
42,5385,1210.05328472165,60,18
4,8078,423.172650644741,77,73
48,5760,1622.70349500541,69,21
3,1926,98.0372990980881,90,87
34,4812,790.53496982051,64,30
91,6196,5191.56225910566,91,0
29,3238,435.936984303486,89,60
66,1953,995.759229712375,82,16
0,8367,540.777392831849,89,89
15,7417,575.202675704085,78,63
37,6068,1122.35713996435,78,41
73,3217,1966.52056438653,93,20
14,4452,332.300959544848,85,71
27,2412,299.832517837601,48,21
55,3244,1172.00939745801,72,17
55,2435,879.729618622147,70,15
39,9414,1883.22046012708,86,47
15,2105,163.246815741823,78,63
89,6237,5091.58803590601,95,6
89,3772,3079.28011406726,92,3
5,8482,458.20875740662,72,67
83,8932,6672.51263236065,92,9
71,2473,1440.14980816142,87,16
83,4132,3086.74677529268,96,13
74,6206,3882.75387319746,79,5
78,4710,3210.87870950509,84,6
73,8887,5432.53598250017,89,16
91,2889,2420.66226058042,91,0
16,4265,343.728603657106,72,56
43,7420,1732.50083413318,46,3
96,7405,6691.16723716798,99,3
64,7777,3743.19256704798,78,14
22,9882,1007.10522002913,62,40
83,8152,6089.8256805871,91,8
53,1103,371.897459137807,88,35
25,7433,853.185562457262,88,63
46,4239,1108.72769876808,75,29
74,3337,2087.77790442474,82,8
70,1722,977.779425047916,94,24
58,1564,624.640536721396,70,12
48,4476,1260.97584091045,63,15
31,2475,360.870345716009,77,46
28,4040,522.639228162518,78,50
50,2602,788.522457530447,65,15
53,6085,2051.67365263242,65,12
4,6334,331.811781280489,83,79
43,1906,445.033233134481,68,25
14,2319,173.092076636231,84,70
88,6516,5248.17813592975,88,0
31,9564,1394.49049956683,80,49
48,2736,770.78416012757,80,32
9,1930,119.527096320072,88,79
71,4926,2868.65263040968,79,8
54,8047,2809.15629809875,86,32
96,6388,5772.2047685387,96,0
0,6628,428.382043706167,86,86
98,3120,2925.4418377034,98,0
18,3327,289.75399046419,85,67
18,8558,745.330523111675,70,52
29,1768,238.028594270711,74,45
12,2739,189.516458601028,73,61
95,9217,8170.44990116215,95,0
72,2810,1677.14417906522,92,20
43,5612,1310.34968748726,78,35
99,8261,7867.61904761905,99,0
58,7789,3110.82170110163,78,20
9,1171,72.5213625859091,79,70
31,1049,152.950704103472,65,34
65,1762,873.131550232928,69,4
40,2073,431.15848091985,86,46
28,3468,448.641792888023,73,45
7,7577,437.273009031562,77,70
96,4445,4016.50754479563,97,1
17,2145,179.687589282097,78,61
78,1790,1220.27025265693,79,1
8,9858,589.106689995537,60,52
66,6924,3530.28003406477,85,19
38,4304,827.960632280368,52,14
46,8596,2248.31877768588,75,29
70,7282,4134.83726666604,89,19
21,9539,934.50426546357,84,63
91,9196,7705.23023478626,91,0
13,7179,515.834112111167,75,62
8,5286,315.887397374357,79,71
16,2591,208.816134132606,88,72
34,9010,1480.19951747356,64,30
74,8715,5452.49758377633,84,10
73,8887,5432.53598250017,91,18
22,6916,704.83097568523,50,28
39,3683,736.764494863823,69,30
73,5100,3117.58000571069,84,11
52,3492,1136.6925078271,89,37
88,2851,2296.27929182562,91,3
33,3040,479.972515809624,84,51
65,2263,1121.39426684286,80,15
77,6498,4340.3363461953,80,3
33,2076,327.770704875257,74,41
51,3307,1038.84998414418,69,18
25,3452,396.232552347971,68,43
89,5609,4578.91891829354,90,1
26,5399,644.901932339164,90,64
88,3336,2686.91256314635,88,0
16,8751,705.268232263385,78,62
37,9698,1793.77382059563,83,46
41,7317,1581.99462649457,75,34
49,2157,630.357885258357,77,28
79,4392,3053.63213802882,79,0
82,6478,4758.06373627101,93,11
34,4206,690.978820254585,78,44
50,1418,429.71746532597,74,24
56,3772,1409.7404709128,69,13
35,8823,1508.05410084869,86,51
18,7606,662.419252020028,76,58
67,8356,4380.83987785829,86,19
52,1069,347.973737361733,74,22
12,3939,272.546670474425,73,61
34,9321,1531.29186485806,75,41
78,5596,3814.87839880902,78,0
81,5570,4019.76054393017,84,3
6,2275,126.938228081783,67,61
73,9537,5829.87461067898,92,19
84,2972,2256.5935138532,90,6
84,1004,762.321631194015,85,1
84,1396,1059.9611525367,88,4
25,5841,670.450271803157,81,56
20,5884,554.192921171451,72,52
33,5295,836.004760267092,89,56
4,3865,202.471192713781,89,85
63,2039,952.678661693591,86,23
31,4569,666.188529121796,73,42
65,7950,3939.49819770248,71,6
85,1125,867.646212543442,86,1
12,6378,441.305576107103,90,78
51,6406,2012.35953989345,73,22
55,9168,3312.26330329686,86,31
84,4496,3413.7430815222,89,5
47,3819,1036.82762360332,53,6
45,6068,1528.60334458733,78,33
11,3404,226.878382101172,70,59
88,7855,6326.64813654515,88,0
69,4165,2304.40170735204,78,9
73,8202,5013.80219741942,91,18
3,5762,293.297464903003,7,4
55,3174,1146.71942895552,78,23
19,5965,540.21473303355,54,35
1,6429,311.374337276834,78,77
71,9784,5697.70550871463,94,23
66,5792,2953.11697823558,74,8
26,8531,1019.01433317011,88,62
85,4125,3181.36944599262,85,0
51,8059,2531.62746362805,78,27
25,4989,572.654751930483,88,63
47,8168,2217.54596218695,79,32
21,5767,564.973907005809,48,27
46,5593,1462.87190828259,89,43
23,7807,827.739828663544,76,53
21,3670,359.537755975606,68,47
34,5833,958.269010590821,87,53
1,5154,249.622543836491,80,79
15,5914,458.642122706479,78,63
72,3697,2206.54876512602,79,7
74,9221,5769.07403557103,88,14
45,1438,362.249770849799,92,47
27,3239,402.635789915419,40,13
47,2019,548.142176500421,72,25
79,3291,2288.13828921969,83,4
78,2801,1909.48434507936,78,0
88,3328,2680.46912774312,91,3
73,6514,3981.9443445489,81,8
70,7205,4091.11542245658,80,10
57,6979,2696.98519906076,80,23
39,6980,1396.31174970119,80,41
59,2215,913.805321861827,86,27
37,4308,796.821779658275,55,18
95,7783,6899.27433880275,97,2
63,4474,2090.37976087157,81,18
18,7032,612.428632685358,73,55
50,1525,462.143254317422,55,5
6,7129,397.776979338476,75,69
67,7174,3761.14711390083,85,18
19,6776,613.66220134708,38,19
1,2934,142.101774081541,83,82
80,5343,3786.04760971423,83,3
29,9176,1235.37917478962,75,46
55,4886,1765.23980147343,84,29
12,6767,468.221203122729,82,70
82,4141,3041.54707192007,82,0
55,6315,2281.51644418844,82,27
88,9080,7313.29918266454,94,6
12,9191,635.942231106991,73,61
91,5052,4233.01687104613,91,0
49,5958,1741.15543827969,74,25
59,7067,2915.51341291085,83,24
16,3596,289.81197157115,80,64
17,4528,379.312542782907,72,55
32,5554,842.712756250196,84,52
64,3057,1471.38223961241,77,13
9,2600,161.020958773154,52,43
39,5190,1038.23180242825,91,52
78,7953,5421.68118401147,82,4
48,1228,345.951370115737,72,24
12,4167,288.32241073037,61,49
76,3813,2493.70380063588,79,3
86,1808,1415.49688003147,90,4
74,1423,890.293065027391,83,9
48,4691,1321.54550261639,69,21
32,5744,871.541604591489,58,26
13,2504,179.920409071787,77,64
48,1957,551.324781202359,66,18
66,9262,4722.33588612187,78,12
29,7228,973.116900106732,78,49
10,1495,96.0272518418481,75,65
22,7441,758.335351369838,90,68
79,8667,6025.91751828229,85,6
16,7281,586.796708845813,80,64
38,2446,470.537106542235,77,39
7,5978,344.99380335102,68,61
75,3414,2184.58672679232,96,21
52,1002,326.164345029426,65,13
63,2771,1294.68983401321,84,21
51,7166,2251.10341287488,68,17
67,6095,3195.45465001751,75,8
45,5835,1469.90779757203,90,45
7,2481,143.179930765119,47,40
85,3435,2649.21310229931,90,5
24,6302,695.188775430863,70,46
9,6849,424.166364091282,87,78
79,5229,3635.57432826792,80,1
83,7346,5487.71583042111,88,5
85,2539,1958.18109657582,87,2
84,2507,1903.52622450537,88,4
33,1538,242.828200432632,71,38
59,5000,2062.76596357072,63,4
23,2946,312.350651369643,66,43
38,1679,322.989289404911,71,33
85,2852,2199.57955393235,87,2
95,1679,1488.3568822883,98,3
91,1671,1400.11306245409,99,8
70,1485,843.206995468151,71,1
11,5159,343.850050898926,90,79
68,6631,3572.48037302147,86,18
29,4411,593.85980165617,86,57
20,1509,142.127314420075,64,44
31,4427,645.484048680716,80,49
